,Date,Nitrogen dioxide,Nitrogen oxides as nitrogen dioxide,Status.1,Nitrogen dioxide.1,Status.2,Nitrogen oxides as nitrogen dioxide.1,Status.3,Nitrogen dioxide.2,Status.4,Nitrogen oxides as nitrogen dioxide.2,Status.5,Sulphur dioxide,Status.6,Carbon monoxide,Status.7,PM10 particulate matter (Hourly measured),Status.8
0,2002-03-06,0,0,,0,,0,,6,V ugm-3,9,V ugm-3,0,V ugm-3,0.28,V mgm-3,0,
1,2002-03-07,0,0,,0,,0,,12,V ugm-3,17,V ugm-3,1,V ugm-3,0.25,V mgm-3,0,
2,2002-03-08,0,0,,0,,0,,14,V ugm-3,22,V ugm-3,1,V ugm-3,0.38,V mgm-3,0,
3,2002-03-09,0,0,,0,,0,,8,V ugm-3,15,V ugm-3,1,V ugm-3,0.31,V mgm-3,0,
4,2002-03-10,0,0,,0,,0,,6,V ugm-3,10,V ugm-3,2,V ugm-3,0.29,V mgm-3,0,
5,2002-03-11,0,0,,0,,0,,22,V ugm-3,38,V ugm-3,4,V ugm-3,0.54,V mgm-3,0,
6,2002-03-12,0,0,,0,,0,,42,V ugm-3,86,V ugm-3,6,V ugm-3,0.8,V mgm-3,0,
7,2002-03-13,0,0,,0,,0,,36,V ugm-3,65,V ugm-3,11,V ugm-3,0.72,V mgm-3,0,
8,2002-03-14,0,0,,0,,0,,22,V ugm-3,40,V ugm-3,4,V ugm-3,0.52,V mgm-3,0,
9,2002-03-15,0,0,,0,,0,,37,V ugm-3,76,V ugm-3,4,V ugm-3,0.82,V mgm-3,0,
10,2002-03-16,0,0,,0,,0,,41,V ugm-3,88,V ugm-3,5,V ugm-3,0.98,V mgm-3,0,
11,2002-03-17,0,0,,0,,0,,23,V ugm-3,41,V ugm-3,3,V ugm-3,0.71,V mgm-3,0,
12,2002-03-18,0,0,,0,,0,,32,V ugm-3,54,V ugm-3,6,V ugm-3,0.63,V mgm-3,0,
13,2002-03-19,0,0,,0,,0,,26,V ugm-3,55,V ugm-3,4,V ugm-3,0.65,V mgm-3,0,
14,2002-03-20,0,0,,0,,0,,27,V ugm-3,58,V ugm-3,4,V ugm-3,0.74,V mgm-3,0,
15,2002-03-21,0,0,,0,,0,,10,V ugm-3,18,V ugm-3,2,V ugm-3,0.36,V mgm-3,0,
16,2002-03-22,0,0,,0,,0,,30,V ugm-3,56,V ugm-3,7,V ugm-3,0.65,V mgm-3,0,
17,2002-03-23,0,0,,0,,0,,32,V ugm-3,68,V ugm-3,16,V ugm-3,0.75,V mgm-3,0,
18,2002-03-24,0,0,,0,,0,,21,V ugm-3,39,V ugm-3,4,V ugm-3,0.61,V mgm-3,0,
19,2002-03-25,0,0,,0,,0,,30,V ugm-3,60,V ugm-3,3,V ugm-3,0.74,V mgm-3,0,
20,2002-03-26,0,0,,0,,0,,39,V ugm-3,74,V ugm-3,8,V ugm-3,0.78,V mgm-3,0,
21,2002-03-27,0,0,,0,,0,,42,V ugm-3,88,V ugm-3,5,V ugm-3,0.85,V mgm-3,0,
22,2002-03-28,0,0,,0,,0,,48,V ugm-3,112,V ugm-3,6,V ugm-3,1,V mgm-3,0,
23,2002-03-29,0,0,,0,,0,,50,V ugm-3,89,V ugm-3,9,V ugm-3,0.96,V mgm-3,0,
24,2002-03-30,0,0,,0,,0,,25,V ugm-3,40,V ugm-3,3,V ugm-3,0.66,V mgm-3,0,
25,2002-03-31,0,0,,0,,0,,9,V ugm-3,13,V ugm-3,2,V ugm-3,0.37,V mgm-3,0,
26,2002-04-01,0,0,,0,,0,,19,V ugm-3,27,V ugm-3,3,V ugm-3,0.39,V mgm-3,0,
27,2002-04-02,0,0,,0,,0,,43,V ugm-3,85,V ugm-3,7,V ugm-3,0.88,V mgm-3,0,
28,2002-04-03,0,0,,0,,0,,33,V ugm-3,58,V ugm-3,5,V ugm-3,0.69,V mgm-3,0,
29,2002-04-04,0,0,,0,,0,,40,V ugm-3,65,V ugm-3,24,V ugm-3,0.73,V mgm-3,0,
30,2002-04-05,0,0,,0,,0,,39,V ugm-3,65,V ugm-3,11,V ugm-3,0.74,V mgm-3,0,
31,2002-04-06,0,0,,0,,0,,24,V ugm-3,40,V ugm-3,4,V ugm-3,0.5,V mgm-3,0,
32,2002-04-07,0,0,,0,,0,,36,V ugm-3,51,V ugm-3,7,V ugm-3,0.64,V mgm-3,0,
33,2002-04-08,0,0,,0,,0,,42,V ugm-3,75,V ugm-3,8,V ugm-3,0.83,V mgm-3,0,
34,2002-04-09,0,0,,0,,0,,44,V ugm-3,81,V ugm-3,6,V ugm-3,0.81,V mgm-3,0,
35,2002-04-10,0,0,,0,,0,,41,V ugm-3,69,V ugm-3,4,V ugm-3,0.8,V mgm-3,0,
36,2002-04-11,0,0,,0,,0,,46,V ugm-3,76,V ugm-3,11,V ugm-3,0.78,V mgm-3,0,
37,2002-04-12,0,0,,0,,0,,44,V ugm-3,68,V ugm-3,12,V ugm-3,0.81,V mgm-3,0,
38,2002-04-13,0,0,,0,,0,,28,V ugm-3,41,V ugm-3,8,V ugm-3,0.6,V mgm-3,0,
39,2002-04-14,0,0,,0,,0,,20,V ugm-3,29,V ugm-3,3,V ugm-3,0.57,V mgm-3,0,
40,2002-04-15,0,0,,0,,0,,24,V ugm-3,40,V ugm-3,2,V ugm-3,0.53,V mgm-3,0,
41,2002-04-16,0,0,,0,,0,,38,V ugm-3,71,V ugm-3,5,V ugm-3,0.79,V mgm-3,0,
42,2002-04-17,0,0,,0,,0,,31,V ugm-3,62,V ugm-3,4,V ugm-3,0.8,V mgm-3,0,
43,2002-04-18,0,0,,0,,0,,8,V ugm-3,12,V ugm-3,0,V ugm-3,0.3,V mgm-3,0,
44,2002-04-19,0,0,,0,,0,,33,V ugm-3,60,V ugm-3,3,V ugm-3,0.62,V mgm-3,0,
45,2002-04-20,0,0,,0,,0,,25,V ugm-3,48,V ugm-3,2,V ugm-3,0.62,V mgm-3,0,
46,2002-04-21,0,0,,0,,0,,11,V ugm-3,19,V ugm-3,4,V ugm-3,0.38,V mgm-3,0,
47,2002-04-22,0,0,,0,,0,,9,V ugm-3,15,V ugm-3,1,V ugm-3,0.32,V mgm-3,0,
48,2002-04-23,0,0,,0,,0,,13,V ugm-3,24,V ugm-3,3,V ugm-3,0.39,V mgm-3,0,
49,2002-04-24,0,0,,0,,0,,21,V ugm-3,46,V ugm-3,3,V ugm-3,0.42,V mgm-3,0,
50,2002-04-25,0,0,,0,,0,,11,V ugm-3,19,V ugm-3,1,V ugm-3,0.25,V mgm-3,0,
51,2002-04-26,0,0,,0,,0,,9,V ugm-3,15,V ugm-3,2,V ugm-3,0.32,V mgm-3,0,
52,2002-04-27,0,0,,0,,0,,7,V ugm-3,12,V ugm-3,1,V ugm-3,0.28,V mgm-3,0,
53,2002-04-28,0,0,,0,,0,,4,V ugm-3,4,V ugm-3,0,V ugm-3,0.22,V mgm-3,0,
54,2002-04-29,0,0,,0,,0,,6,V ugm-3,8,V ugm-3,3,V ugm-3,0.24,V mgm-3,0,
